Item Name,Item URL,Item URI,Attribute 1,Value 1,Schema URI 1,Attribute 2,Value 2,Schema URI 2,Attribute 3,Value 3,Schema URI 3,Attribute 4,Value 4,Schema URI 4,Attribute 5,Value 5,Schema URI 5
Keys-To-Go 2 for iPad,https://www.logitech.com/en-us/products/tablet-keyboards/keys-to-go2-apple.html,ex:prod058,price,7999.00,schema:price,currency,USD,schema:priceCurrency,color,Pale Gray,schema:color,sku,920-012922,schema:sku,model,Keys-To-Go 2 for iPad - Pale Gray - English,schema:model
BOOM 3,https://www.logitech.com/en-us/products/speakers/bluetooth-speakers/boom-3.html,ex:prod059,price,14999.00,schema:price,currency,USD,schema:priceCurrency,color,Sunset red,schema:color,sku,984-001352,schema:sku,model,BOOM 3 - BOOM 3 - Sunset red,schema:model
MEGABOOM 3,https://www.logitech.com/en-us/products/speakers/bluetooth-speakers/megaboom-3.html,ex:prod060,price,19999.00,schema:price,currency,USD,schema:priceCurrency,color,Sunset red,schema:color,sku,984-001394,schema:sku,model,MEGABOOM 3 - MEGABOOM 3 - Sunset red,schema:model
HYPERBOOM RENEWED,https://www.logitech.com/en-us/products/speakers/bluetooth-speakers/hyperboom-renewed.html,ex:prod061,price,27999.00,schema:price,currency,USD,schema:priceCurrency,color,Black,schema:color,sku,996-000364,schema:sku,model,HYPERBOOM RENEWED - HYPERBOOM RENEWED - Black,schema:model
BRIO 100,https://www.logitech.com/en-us/products/webcams/brio-100-b.html,ex:prod062,price,2999.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,960-001580,schema:sku,model,BRIO 100 - Graphite,schema:model
Brio,https://www.logitech.com/en-us/products/webcams/brio-4k-hdr-webcam.html,ex:prod063,price,16999.00,schema:price,currency,USD,schema:priceCurrency,color,Black,schema:color,sku,960-001105,schema:sku,model,Brio - Brio - Black,schema:model
StreamCam,https://www.logitech.com/en-us/products/webcams/streamcam.html,ex:prod064,price,16999.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,960-001286,schema:sku,model,StreamCam - Graphite,schema:model
Brio 300,https://www.logitech.com/en-us/products/webcams/brio-300-webcam.html,ex:prod065,price,5999.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,960-001497,schema:sku,model,Brio 300 - Graphite,schema:model
BRIO 305,https://www.logitech.com/en-us/products/webcams/brio-305-webcam.html,ex:prod066,price,5999.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,960-001414,schema:sku,model,BRIO 305 - BRIO 305 - Graphite,schema:model
Brio 105,https://www.logitech.com/en-us/products/webcams/brio-105-business-webcam.html,ex:prod067,price,3999.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,960-001579,schema:sku,model,Brio 105 - Brio 105 - Graphite,schema:model
MX Brio 705 for Business,https://www.logitech.com/en-us/products/webcams/mx-brio-705-for-business.html,ex:prod069,price,19999.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,960-001529,schema:sku,model,MX Brio 705 for Business - MX Brio 705 for Business - Graphite,schema:model
MX Brio,https://www.logitech.com/en-us/products/webcams/mx-brio-4k-webcam.html,ex:prod070,price,19999.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,960-001545,schema:sku,model,MX Brio - Graphite,schema:model
Logitech Reach,https://www.logitech.com/en-us/products/webcams/reach-overhead-content-camera.html,ex:prod071,price,34999.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,960-001670,schema:sku,model,Logitech Reach,schema:model
MeetUp 2,https://www.logitech.com/en-us/products/video-conferencing/conference-cameras/meetup2-conferencecam.html,ex:prod072,price,899.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,960-001691,schema:sku,model,MeetUp 2 - MeetUp 2 - Graphite,schema:model
Rally Bar Huddle,https://www.logitech.com/en-us/products/video-conferencing/room-solutions/rallybarhuddle.html,ex:prod073,price,1899.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,960-001485,schema:sku,model,Rally Bar Huddle - Rally Bar Huddle - Graphite,schema:model
LOGI DOCK FLEX,https://www.logitech.com/en-us/products/video-conferencing/room-solutions/logi-dock-flex-managed.html,ex:prod074,price,699.00,schema:price,currency,USD,schema:priceCurrency,color,White,schema:color,sku,939-002154,schema:sku,model,LOGI DOCK FLEX - LOGI DOCK FLEX - White,schema:model
Rally Bar,https://www.logitech.com/en-us/products/video-conferencing/room-solutions/rallybar.html,ex:prod076,price,4199.00,schema:price,currency,USD,schema:priceCurrency,color,TAA Compliant,schema:color,sku,960-001564,schema:sku,model,Rally Bar - Rally Bar - TAA Compliant,schema:model
Rally Bar Mini,https://www.logitech.com/en-us/products/video-conferencing/room-solutions/rallybarmini.html,ex:prod077,price,3299.00,schema:price,currency,USD,schema:priceCurrency,color,White,schema:color,sku,960-001348,schema:sku,model,Rally Bar Mini - Rally Bar Mini - White,schema:model
Rally Plus,https://www.logitech.com/en-us/products/video-conferencing/room-solutions/rally-ultra-hd-conferencecam.html,ex:prod078,price,2799.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,960-001225,schema:sku,model,Rally Plus - Rally Plus,schema:model
Logitech Rally Camera Streamline Kit,https://www.logitech.com/en-us/products/video-conferencing/room-solutions/rally-streamline-kit.html,ex:prod079,price,2199.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,991-000553,schema:sku,model,Logitech Rally Camera Streamline Kit - Logitech Rally Camera Streamline Kit - Graphite,schema:model
Rally Board 65,https://www.logitech.com/en-us/products/video-conferencing/room-solutions/rally-board-65.html,ex:prod080,price,6999.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,960-001697,schema:sku,model,Rally Board 65 - Rally Board 65 - Graphite,schema:model
